country,nm_municipio,direction,pc_votos_validos,year,lat,lon
Angola,LUANDA,right,0.5962,2014,-8.8272699,13.2439512
Angola,LUANDA,right,0.5759,2018,-8.8272699,13.2439512
Angola,LUANDA,left,0.5561,2022,-8.8272699,13.2439512
Argentina,BUENOS AIRES,right,0.5792,2014,-34.6083696,-58.4440583
Argentina,BUENOS AIRES,left,0.5343,2018,-34.6083696,-58.4440583
Argentina,BUENOS AIRES,left,0.6613,2022,-34.6083696,-58.4440583
Argentina,CÓRDOBA,left,0.5325,2014,-31.4166867,-64.1834193
Argentina,CÓRDOBA,right,0.5081,2018,-31.4166867,-64.1834193
Argentina,CÓRDOBA,left,0.5279,2022,-31.4166867,-64.1834193
Argentina,MENDOZA,left,0.5,2014,-34.787093,-68.4381868
Argentina,MENDOZA,right,0.6538,2018,-34.787093,-68.4381868
Argentina,MENDOZA,right,0.6111,2022,-34.787093,-68.4381868
Argentina,PUERTO IGUAZÚ,left,1.0,2022,-25.6107508,-54.5764199
Australia,CAMBERRA,right,0.8045,2014,-35.2975906,149.1012676
Australia,CAMBERRA,right,0.6557,2018,-35.2975906,149.1012676
Australia,CAMBERRA,left,0.6406,2022,-35.2975906,149.1012676
Australia,SYDNEY,right,0.8408,2014,-33.8698439,151.2082848
Australia,SYDNEY,right,0.653,2018,-33.8698439,151.2082848
Australia,SYDNEY,left,0.6213,2022,-33.8698439,151.2082848
Austria,VIENA,right,0.6369,2014,48.2083537,16.3725042
Austria,VIENA,left,0.5568,2018,48.2083537,16.3725042
Austria,VIENA,left,0.717,2022,48.2083537,16.3725042
Bahamas,NASSAU,right,0.8,2018,25.0782266,-77.3383438
Bahamas,NASSAU,right,0.6087,2022,25.0782266,-77.3383438
Bahrain,BAREIN,right,0.6944,2022,26.1551249,50.5344606
Belgium,BRUXELAS,right,0.6691,2014,50.8465573,4.351697
Belgium,BRUXELAS,right,0.5844,2018,50.8465573,4.351697
Belgium,BRUXELAS,left,0.5943,2022,50.8465573,4.351697
Bolivia,COCHABAMBA,right,0.7719,2014,-17.4012458,-66.1675681
Bolivia,COCHABAMBA,right,0.8083,2018,-17.4012458,-66.1675681
Bolivia,COCHABAMBA,right,0.6259,2022,-17.4012458,-66.1675681
Bolivia,LA PAZ,right,0.7711,2014,-16.4955455,-68.1336229
Bolivia,LA PAZ,right,0.6791,2018,-16.4955455,-68.1336229
Bolivia,LA PAZ,right,0.63,2022,-16.4955455,-68.1336229
Bolivia,SANTA CRUZ DE LA SIERRA,right,0.8631,2022,-17.7834217,-63.1820853
Bolivia,STA C LA SIERRA-BOLI,right,0.8135,2014,,
Bolivia,STA C LA SIERRA-BOLI,right,0.8875,2018,,
Brazil,RIO BRANCO,right,0.5882,2018,-9.9765362,-67.8220778
Brazil,RIO BRANCO,left,0.5909,2022,-9.9765362,-67.8220778
Bulgaria,SÓFIA,left,0.7742,2022,42.6977028,23.3217359
Canada,MONTREAL,right,0.7485,2014,45.5031824,-73.5698065
Canada,MONTREAL,right,0.5165,2018,45.5031824,-73.5698065
Canada,MONTREAL,left,0.6898,2022,45.5031824,-73.5698065
Canada,OTTAWA,right,0.7605,2014,45.4208777,-75.6901106
Canada,OTTAWA,right,0.5898,2018,45.4208777,-75.6901106
Canada,OTTAWA,left,0.6409,2022,45.4208777,-75.6901106
Canada,TORONTO,right,0.8098,2014,43.6534817,-79.3839347
Canada,TORONTO,right,0.7086,2018,43.6534817,-79.3839347
Canada,TORONTO,left,0.5579,2022,43.6534817,-79.3839347
Canada,VANCOUVER,right,0.8429,2014,49.2608724,-123.113952
Canada,VANCOUVER,right,0.6687,2018,49.2608724,-123.113952
Canada,VANCOUVER,left,0.6348,2022,49.2608724,-123.113952
Cape Verde,PRAIA,left,0.7059,2014,14.9162811,-23.5095095
Cape Verde,PRAIA,left,0.75,2018,14.9162811,-23.5095095
Cape Verde,PRAIA,left,0.6452,2022,14.9162811,-23.5095095
Chile,CONCEPCIÓN,right,0.7647,2014,-36.8270698,-73.0502064
Chile,CONCEPCIÓN,right,1.0,2018,-36.8270698,-73.0502064
Chile,CONCEPCIÓN,right,0.9143,2022,-36.8270698,-73.0502064
Chile,SANTIAGO,right,0.7835,2014,-33.4377756,-70.6504502
Chile,SANTIAGO,right,0.6817,2018,-33.4377756,-70.6504502
Chile,SANTIAGO,right,0.5047,2022,-33.4377756,-70.6504502
China,CANTÃO,right,0.9425,2018,23.1301964,113.2592945
China,CANTÃO,right,0.6932,2022,23.1301964,113.2592945
China,PEQUIM,right,0.6324,2014,40.190632,116.412144
China,PEQUIM,left,0.5179,2018,40.190632,116.412144
China,PEQUIM,left,0.6714,2022,40.190632,116.412144
China,XANGAI,right,0.8294,2014,31.2312707,121.4700152
China,XANGAI,right,0.7588,2018,31.2312707,121.4700152
China,XANGAI,left,0.6684,2022,31.2312707,121.4700152
