sg_uf,nm_municipio,nr_candidato,nm_urna_candidato,sg_partido,ds_sit_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AC,ACRELÂNDIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6484,4076,6286
AC,ACRELÂNDIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3516,2210,6286
AC,ASSIS BRASIL,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.5184,2116,4082
AC,ASSIS BRASIL,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.4816,1966,4082
AC,BRASILÉIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6074,7553,12435
AC,BRASILÉIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3926,4882,12435
AC,BUJARI,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.66,3558,5391
AC,BUJARI,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.34,1833,5391
AC,CAPIXABA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.7051,3496,4958
AC,CAPIXABA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.2949,1462,4958
AC,CRUZEIRO DO SUL,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6129,21388,34894
AC,CRUZEIRO DO SUL,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3871,13506,34894
AC,EPITACIOLÂNDIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6634,4984,7513
AC,EPITACIOLÂNDIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3366,2529,7513
AC,FEIJÓ,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.5978,7333,12267
AC,FEIJÓ,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.4022,4934,12267
AC,JORDÃO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.5575,1552,2784
AC,JORDÃO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.4425,1232,2784
AC,MANOEL URBANO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.529,1981,3745
AC,MANOEL URBANO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.471,1764,3745
AC,MARECHAL THAUMATURGO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.5202,2997,5761
AC,MARECHAL THAUMATURGO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.4798,2764,5761
AC,MÂNCIO LIMA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.5333,3900,7313
AC,MÂNCIO LIMA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.4667,3413,7313
AC,PLÁCIDO DE CASTRO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6753,5965,8833
AC,PLÁCIDO DE CASTRO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3247,2868,8833
AC,PORTO ACRE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6261,5279,8431
AC,PORTO ACRE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3739,3152,8431
AC,PORTO WALTER,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.5003,1777,3552
AC,PORTO WALTER,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.4997,1775,3552
AC,RIO BRANCO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.693,135243,195164
AC,RIO BRANCO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.307,59921,195164
AC,RODRIGUES ALVES,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.5615,3562,6344
AC,RODRIGUES ALVES,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.4385,2782,6344
AC,SANTA ROSA DO PURUS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.5515,852,1545
AC,SANTA ROSA DO PURUS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.4485,693,1545
AC,SENA MADUREIRA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6706,10951,16331
AC,SENA MADUREIRA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3294,5380,16331
AC,SENADOR GUIOMARD,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.6889,8493,12329
AC,SENADOR GUIOMARD,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.3111,3836,12329
AC,TARAUACÁ,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.5802,8366,14420
AC,TARAUACÁ,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.4198,6054,14420
AC,XAPURI,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORTE,0.5032,4167,8281
AC,XAPURI,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORTE,0.4968,4114,8281
AL,ANADIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6806,5452,8011
AL,ANADIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3194,2559,8011
AL,ARAPIRACA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6061,63635,104997
AL,ARAPIRACA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3939,41362,104997
AL,ATALAIA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6292,12895,20493
AL,ATALAIA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3708,7598,20493
AL,BARRA DE SANTO ANTÔNIO,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6622,4832,7297
AL,BARRA DE SANTO ANTÔNIO,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3378,2465,7297
AL,BARRA DE SÃO MIGUEL,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.5225,2334,4467
AL,BARRA DE SÃO MIGUEL,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.4775,2133,4467
AL,BATALHA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.759,6389,8418
AL,BATALHA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.241,2029,8418
AL,BELO MONTE,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.8269,2689,3252
AL,BELO MONTE,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.1731,563,3252
AL,BELÉM,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6798,2174,3198
AL,BELÉM,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3202,1024,3198
AL,BOCA DA MATA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.6239,8306,13314
AL,BOCA DA MATA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.3761,5008,13314
AL,BRANQUINHA,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.645,3205,4969
AL,BRANQUINHA,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.355,1764,4969
AL,CACIMBINHAS,13,DILMA,PT,Eleito,BR,280000000083,#NE,NORDESTE,0.7567,3977,5256
AL,CACIMBINHAS,45,AÉCIO NEVES,PSDB,Não Eleito,BR,280000000085,#NE,NORDESTE,0.2433,1279,5256
