sg_uf,nm_municipio,cd_cargo,ds_cargo,nr_candidato,nm_candidato,nm_urna_candidato,sg_partido,ds_composicao_coligacao,nr_turno,ds_sit_totalizacao,dt_ult_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,sq_eleicao_divulga,aa_eleicao,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AC,ACRELÂNDIA,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.7989,5165,6465
AC,ACRELÂNDIA,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.2011,1300,6465
AC,ASSIS BRASIL,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.5843,2333,3993
AC,ASSIS BRASIL,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.4157,1660,3993
AC,BRASILÉIA,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.7308,8711,11919
AC,BRASILÉIA,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.2692,3208,11919
AC,BUJARI,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.7859,4676,5950
AC,BUJARI,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.2141,1274,5950
AC,CAPIXABA,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.782,3895,4981
AC,CAPIXABA,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.218,1086,4981
AC,CRUZEIRO DO SUL,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.7994,31147,38965
AC,CRUZEIRO DO SUL,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.2006,7818,38965
AC,EPITACIOLÂNDIA,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.7562,6284,8310
AC,EPITACIOLÂNDIA,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.2438,2026,8310
AC,FEIJÓ,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.545,6296,11552
AC,FEIJÓ,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.455,5256,11552
AC,JORDÃO,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.5072,1415,2790
AC,JORDÃO,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.4928,1375,2790
AC,MANOEL URBANO,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.5838,2274,3895
AC,MANOEL URBANO,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.4162,1621,3895
AC,MARECHAL THAUMATURGO,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.5097,2548,4999
AC,MARECHAL THAUMATURGO,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.4903,2451,4999
AC,MÂNCIO LIMA,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.6912,5225,7559
AC,MÂNCIO LIMA,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.3088,2334,7559
AC,PLÁCIDO DE CASTRO,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.7805,6531,8368
AC,PLÁCIDO DE CASTRO,1,Presidente,13,FERNANDO HADDAD,FERNANDO HADDAD,PT,PT / PC do B / PROS,2,Não Eleito,2019-02-27 18:15:58,BR,280000629808,Válido,2022802018,2018,NORTE,0.2195,1837,8368
AC,PORTO ACRE,1,Presidente,17,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PSL,PSL / PRTB,2,Eleito,2019-02-27 18:15:58,BR,280000614517,Válido,2022802018,2018,NORTE,0.7764,7150,9209
