sg_uf,nm_municipio,cd_cargo,ds_cargo,nr_candidato,nm_candidato,nm_urna_candidato,sg_partido,ds_composicao_coligacao,nr_turno,ds_sit_totalizacao,dt_ult_totalizacao,sg_ue,sq_candidato,nm_tipo_destinacao_votos,sq_eleicao_divulga,aa_eleicao,nm_regiao,pc_votos_validos,qt_votos_nom_validos,qt_votos_concorrentes
AC,ACRELÂNDIA,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,2022-10-31 00:28:52,BR,280001618036,Válido,2040602022,2022,NORTE,0.7846,5317,6777
AC,ACRELÂNDIA,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,2022-10-31 00:28:52,BR,280001607829,Válido,2040602022,2022,NORTE,0.2154,1460,6777
AC,ASSIS BRASIL,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,2022-10-31 00:28:52,BR,280001618036,Válido,2040602022,2022,NORTE,0.5891,2717,4612
AC,ASSIS BRASIL,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,2022-10-31 00:28:52,BR,280001607829,Válido,2040602022,2022,NORTE,0.4109,1895,4612
AC,BRASILÉIA,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,2022-10-31 00:28:52,BR,280001618036,Válido,2040602022,2022,NORTE,0.7079,9593,13551
AC,BRASILÉIA,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,2022-10-31 00:28:52,BR,280001607829,Válido,2040602022,2022,NORTE,0.2921,3958,13551
AC,BUJARI,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,2022-10-31 00:28:52,BR,280001618036,Válido,2040602022,2022,NORTE,0.7056,4693,6651
AC,BUJARI,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,2022-10-31 00:28:52,BR,280001607829,Válido,2040602022,2022,NORTE,0.2944,1958,6651
AC,CAPIXABA,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,2022-10-31 00:28:52,BR,280001618036,Válido,2040602022,2022,NORTE,0.7258,3963,5460
AC,CAPIXABA,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,2022-10-31 00:28:52,BR,280001607829,Válido,2040602022,2022,NORTE,0.2742,1497,5460
AC,CRUZEIRO DO SUL,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,2022-10-31 00:28:52,BR,280001618036,Válido,2040602022,2022,NORTE,0.7664,31936,41669
AC,CRUZEIRO DO SUL,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,2022-10-31 00:28:52,BR,280001607829,Válido,2040602022,2022,NORTE,0.2336,9733,41669
AC,EPITACIOLÂNDIA,1,Presidente,22,JAIR MESSIAS BOLSONARO,JAIR BOLSONARO,PL,PP / REPUBLICANOS / PL,2,Não Eleito,2022-10-31 00:28:52,BR,280001618036,Válido,2040602022,2022,NORTE,0.732,6729,9193
AC,EPITACIOLÂNDIA,1,Presidente,13,LUIZ INÁCIO LULA DA SILVA,LULA,PT,Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / SOLIDARIEDADE / Federação PSOL REDE(PSOL/REDE) / PSB / AGIR / AVANTE / PROS,2,Eleito,2022-10-31 00:28:52,BR,280001607829,Válido,2040602022,2022,NORTE,0.268,2464,9193
